file_id	norm	start	end	status	llr
M01003YZU	103	142.8	157.8	adhere	-0.5
M01003YZU	107	142.8	157.8	adhere	-0.5
M01003YZU	103	157.8	172.8	adhere	-0.5
M01003YZU	107	157.8	172.8	adhere	-0.5
M01003YZU	103	172.8	187.8	adhere	-0.5
M01003YZU	107	172.8	187.8	adhere	-0.5
M01003YZU	103	187.8	202.8	adhere	-0.5
M01003YZU	107	187.8	202.8	adhere	-0.5
M01003YZU	103	202.8	217.8	adhere	-0.5
M01003YZU	107	202.8	217.8	adhere	-0.5
M01003YZU	103	217.8	232.8	adhere	-0.5
M01003YZU	107	217.8	232.8	adhere	-0.5
M01003YZU	103	232.8	247.8	adhere	-0.5
M01003YZU	107	232.8	247.8	adhere	-0.5
M01003YZU	103	247.8	262.8	adhere	-0.5
M01003YZU	107	247.8	262.8	adhere	-0.5
M01003YZU	103	262.8	277.8	adhere	-0.5
M01003YZU	107	262.8	277.8	adhere	-0.5
M01003YZU	103	277.8	292.8	adhere	-0.5
M01003YZU	107	277.8	292.8	adhere	-0.5
M01003YZU	103	292.8	307.8	adhere	-0.5
M01003YZU	107	292.8	307.8	adhere	-0.5
M01003YZU	103	307.8	322.8	adhere	-0.5
M01003YZU	107	307.8	322.8	adhere	-0.5
M01003YZU	103	322.8	337.8	adhere	-0.5
M01003YZU	107	322.8	337.8	adhere	-0.5
M01003YZU	103	337.8	352.8	adhere	-0.5
M01003YZU	107	337.8	352.8	adhere	-0.5
M01003YZU	103	352.8	367.8	adhere	-0.5
M01003YZU	107	352.8	367.8	adhere	-0.5
M01003YZU	103	367.8	382.8	adhere	-0.5
M01003YZU	107	367.8	382.8	adhere	-0.5
M01003YZU	103	382.8	397.8	adhere	-0.5
M01003YZU	107	382.8	397.8	adhere	-0.5
M01003YZU	103	397.8	412.8	adhere	-0.5
M01003YZU	107	397.8	412.8	adhere	-0.5
M01003YZU	103	412.8	427.8	adhere	-0.5
M01003YZU	107	412.8	427.8	adhere	-0.5
M01003YZU	103	427.8	442.8	adhere	-0.5
M01003YZU	107	427.8	442.8	adhere	-0.5
