file_id	norm	start	end	status	llr
M010005GC	101	701.67	714.7	adhere	-0.5562098026275635
M010005GC	101	714.7	726.98	adhere	-0.5534496903419495
M010005GC	101	726.98	738.75	adhere	-0.5584731101989746
M010005GC	101	738.75	752.99	adhere	-0.5505202412605286
M010005GC	101	753.12	764.75	adhere	-0.5582512021064758
M010005GC	101	765.21	779.53	adhere	-0.5588446259498596
M010005GC	101	779.88	792.92	adhere	-0.5545174479484558
M010005GC	101	792.92	805.69	adhere	-0.5558868646621704
M010005GC	101	805.75	818.34	adhere	-0.5570271611213684
M010005GC	101	818.43	832.8	adhere	-0.558083713054657
M010005GC	101	832.8	845.66	adhere	-0.5561127066612244
M010005GC	101	845.66	856.89	adhere	-0.5554046034812927
M010005GC	101	856.9	869.11	adhere	-0.5585241913795471
M010005GC	101	869.18	882.59	adhere	-0.5572351217269897
M010005GC	101	882.66	891.8	adhere	-0.557390034198761
M010005GC	101	891.8	901.63	adhere	-0.5574806332588196
M010005GC	101	901.63	913.56	adhere	-0.5566545724868774
M010005GC	101	913.56	920.883	adhere	-0.5566251277923584
M010005GC	101	920.966	934.36	adhere	-0.5540820360183716
M010005GC	101	934.36	947.2	adhere	-0.5571309328079224
M010005GC	101	948.16	959.89	adhere	-0.5541912913322449
M010005GC	101	960.18	972.33	adhere	-0.556661069393158
M010005GC	101	972.33	985.38	adhere	-0.5563479661941528
M010005GC	101	985.38	996.2	adhere	-0.5544759631156921
M010005GC	101	996.2	999.3	adhere	-0.5544759631156921
M010005GC	102	701.67	714.7	adhere	-4.111433506011963
M010005GC	102	714.7	726.98	adhere	-4.541442394256592
M010005GC	102	726.98	738.75	adhere	-5.3334245681762695
M010005GC	102	738.75	752.99	adhere	-4.252140998840332
M010005GC	102	753.12	764.75	adhere	-5.025021076202393
M010005GC	102	765.21	779.53	adhere	-5.35831356048584
M010005GC	102	779.88	792.92	adhere	-4.4013566970825195
M010005GC	102	792.92	805.69	adhere	-4.9206862449646
M010005GC	102	805.75	818.34	adhere	-4.784088134765625
M010005GC	102	818.43	832.8	adhere	-5.304647445678711
M010005GC	102	832.8	845.66	adhere	-4.375153541564941
M010005GC	102	845.66	856.89	adhere	-4.92458438873291
M010005GC	102	856.9	869.11	adhere	-5.408980369567871
M010005GC	102	869.18	882.59	adhere	-5.1540327072143555
M010005GC	102	882.66	891.8	adhere	-4.446552753448486
M010005GC	102	891.8	901.63	adhere	-4.952029705047607
M010005GC	102	901.63	913.56	adhere	-4.862744331359863
M010005GC	102	913.56	920.883	adhere	-3.4962360858917236
M010005GC	102	920.966	934.36	adhere	-2.7824978828430176
M010005GC	102	934.36	947.2	adhere	-5.06768798828125
M010005GC	102	948.16	959.89	adhere	-4.682848930358887
M010005GC	102	960.18	972.33	adhere	-5.299347877502441
M010005GC	102	972.33	985.38	adhere	-3.9816174507141113
M010005GC	102	985.38	996.2	adhere	-4.920607566833496
M010005GC	102	996.2	999.3	adhere	-4.920607566833496
M010005GC	103	701.67	714.7	adhere	-5.785767555236816
M010005GC	103	714.7	726.98	adhere	-5.407820701599121
M010005GC	103	726.98	738.75	adhere	-5.90972900390625
M010005GC	103	738.75	752.99	adhere	-4.776533126831055
M010005GC	103	753.12	764.75	adhere	-5.908719062805176
M010005GC	103	765.21	779.53	adhere	-5.935484886169434
M010005GC	103	779.88	792.92	adhere	-5.685075759887695
M010005GC	103	792.92	805.69	adhere	-5.7217864990234375
M010005GC	103	805.75	818.34	adhere	-5.644797325134277
M010005GC	103	818.43	832.8	adhere	-5.798166275024414
M010005GC	103	832.8	845.66	adhere	-5.749032974243164
M010005GC	103	845.66	856.89	adhere	-5.6073760986328125
M010005GC	103	856.9	869.11	adhere	-5.865360736846924
M010005GC	103	869.18	882.59	adhere	-5.774677753448486
M010005GC	103	882.66	891.8	adhere	-5.844406604766846
M010005GC	103	891.8	901.63	adhere	-5.862626075744629
