data_mode,file_id,start,end,ASR/txt,LDC label,model label,url
audio,M010008G5,124.9,139.9,,LDC apology,model no apology,na
text,M01000H61,457.0,466.0,对不起，刚才有点事。,LDC apology,model no apology,na
video,M01003TJX,137.3,152.3,"结一结
听到没有
听到
真的拿出来了
那我就不客气了
不客气了
谢谢
开玩笑的还给你
这不是成真的钱
just kidding 还给你
他们拍摄
关子云",LDC apology,model no apology,na
audio,M010007RE,11.1,26.1,"是的。
那你会说中文吗?
是的。
你好。
你好。
然后她今天是,我刚才没有仔细听,然后因为在干别的事情,不好意思。",LDC apology,model no apology,na
video,M01003WZZ,280.7,295.7,"我打你了
你把爸爸当国号了
你也给他二十二个钱
我又没打呢
我还记得搞什么架
你看不得喜欢你爸
对不起啊
你回来了
我们到河南了
还没有发现
老一辈人真的
围绕着你
你还没发现",LDC apology,model no apology,na
video,M01003PH9,903.0,918.0,"你骂到我了
对不起
骂到你了
你多看几期视频
你就会发现我们喜欢的
会尖叫连连
不喜欢的就是会这样骂人
你不要自己带入过深
我没有在骂你
我只是在骂这个作品
如果你非要对号入座",LDC apology,model no apology,na
text,M01000HGI,12.0,20.0,刚刚看到 不好意思,LDC apology,model no apology,na
video,M01003LYI,180.9,195.9,"两位哥请你们原谅我
请你们原谅我
下次再也不敢了
我告诉你哈
就是年纪轻轻的
干点正道的事
就是没有那啥事
咱语语读读找个板上
好的好的",LDC apology,model no apology,na
video,M01004IZ1,240.6,255.6,"哎小梦啊哎哥
啊时间到了怎么车还没开回来啊
哎怎么办我再回去再回去啊挂了啊
怎么回事啊",LDC apology,model no apology,na
audio,M010006ZX,620.2,633.02,"我现在让谁办他的事呢?
我知道。
你知道?你怎么知道?
我跟你讲,很抱歉。
为什么会知道呢?",LDC apology,model no apology,na
text,M01000HKE,354.0,393.0,没事。要是麻烦的话我就送人。让你买这么多乱七八糟的，太费神了，呵呵，不好意思啦！,LDC apology,model no apology,na
video,M01003YGP,343.7,358.7,"一天是哪儿
反面就在这一期
但是你不要给孩子们树立不良影响
我们是提倡大家不要早恋
对就很但是呢
就我说一下这个明显的对比",LDC apology,model no apology,na
video,M01003WZZ,250.7,265.7,"坏孩子
这也算是
也算是
说这的
不是我这
不是故意我这样鼓着呀
对谁也不能这样
好好地说说你家姑娘啊
这都是你惯的吧
哎哎哎
你为什么打这剧啊
好玩呗",LDC apology,model no apology,na
