file_id	is_processed	file_path	start	end
M01003UG6	True	M01003UG6.tab	100000	0
M01004NB7	True	M01004NB7.tab	100000	0
M01003M4V	True	M01003M4V.tab	100000	0
M01000FHC	True	M01000FHC.tab	100000	0
M010008HS	True	M010008HS.tab	100000	0
M010008DV	True	M010008DV.tab	100000	0
M01003ME4	True	M01003ME4.tab	100000	0
M01003VRV	True	M01003VRV.tab	100000	0
M010049XN	True	M010049XN.tab	100000	0
M01003QX5	True	M01003QX5.tab	100000	0
M01003XLN	True	M01003XLN.tab	100000	0
M01003KBE	True	M01003KBE.tab	100000	0
M01000HKE	True	M01000HKE.tab	100000	0
M01003KYF	True	M01003KYF.tab	100000	0
M01000HAI	True	M01000HAI.tab	100000	0
M01003LRC	True	M01003LRC.tab	100000	0
M01003R3Y	True	M01003R3Y.tab	100000	0
M01003N2S	True	M01003N2S.tab	100000	0
M01003OD7	True	M01003OD7.tab	100000	0
M01003YUC	True	M01003YUC.tab	100000	0
M01003K96	True	M01003K96.tab	100000	0
M01000HI1	True	M01000HI1.tab	100000	0
M01000HTV	True	M01000HTV.tab	100000	0
M01003Q4V	True	M01003Q4V.tab	100000	0
M01003WTL	True	M01003WTL.tab	100000	0
M01000FH7	True	M01000FH7.tab	100000	0
M01003U6O	True	M01003U6O.tab	100000	0
M01000HOI	True	M01000HOI.tab	100000	0
M010008HI	True	M010008HI.tab	100000	0
M01003PZ9	True	M01003PZ9.tab	100000	0
M01003NHR	True	M01003NHR.tab	100000	0
M01000F58	True	M01000F58.tab	100000	0
M01003NQY	True	M01003NQY.tab	100000	0
M01003ZF5	True	M01003ZF5.tab	100000	0
M01003L33	True	M01003L33.tab	100000	0
M01003RNO	True	M01003RNO.tab	100000	0
M01003K3J	True	M01003K3J.tab	100000	0
M01003RNK	True	M01003RNK.tab	100000	0
M01000HMY	True	M01000HMY.tab	100000	0
M01003SY0	True	M01003SY0.tab	100000	0
M01003X6S	True	M01003X6S.tab	100000	0
M01003VDA	True	M01003VDA.tab	100000	0
M0100408B	True	M0100408B.tab	100000	0
M01004HZN	True	M01004HZN.tab	100000	0
M01003OQG	True	M01003OQG.tab	100000	0
M01004AXO	True	M01004AXO.tab	100000	0
M01003WUS	True	M01003WUS.tab	100000	0
M01000HGD	True	M01000HGD.tab	100000	0
M01003WL9	True	M01003WL9.tab	100000	0
M01000H33	True	M01000H33.tab	100000	0
M01003QPV	True	M01003QPV.tab	100000	0
M01004K8X	True	M01004K8X.tab	100000	0
M01004DBG	True	M01004DBG.tab	100000	0
M01004I6Q	True	M01004I6Q.tab	100000	0
M01000HUV	True	M01000HUV.tab	100000	0
M01003JM7	True	M01003JM7.tab	100000	0
M01003PVN	True	M01003PVN.tab	100000	0
M01000H3D	True	M01000H3D.tab	100000	0
M01003Y9J	True	M01003Y9J.tab	100000	0
M01003UNR	True	M01003UNR.tab	100000	0
M01003XH2	True	M01003XH2.tab	100000	0
M01003VZD	True	M01003VZD.tab	100000	0
M01000FJI	True	M01000FJI.tab	100000	0
M01004T7Z	True	M01004T7Z.tab	100000	0
M01003OH0	True	M01003OH0.tab	100000	0
M01003TAW	True	M01003TAW.tab	100000	0
M01004EZO	True	M01004EZO.tab	100000	0
M01003S4T	True	M01003S4T.tab	100000	0
M01003VNJ	True	M01003VNJ.tab	100000	0
M010008MU	True	M010008MU.tab	100000	0
M01003W3E	True	M01003W3E.tab	100000	0
M010008M0	True	M010008M0.tab	100000	0
M01003MPR	True	M01003MPR.tab	100000	0
M01003R0R	True	M01003R0R.tab	100000	0
M01004U2S	True	M01004U2S.tab	100000	0
M01004RGX	True	M01004RGX.tab	100000	0
M01003L1B	True	M01003L1B.tab	100000	0
M01003SFJ	True	M01003SFJ.tab	100000	0
